date,name,type,duration,distance,notes,felt_rating
8/4/2025,Easy Run,easy,40m,4,,
8/5/2025,Easy Run,easy,40m,4,,
8/7/2025,Easy Run,easy,30m,3,,
8/7/2025,Tempo Run,tempo,45m,5,,
8/8/2025,Easy Run,easy,40m,4,,
8/11/2025,Easy Run,easy,40m,4,,
8/13/2025,Interval Run,interval,45m,5,,
8/14/2025,Easy Run,easy,40m,4,,
8/16/2025,Long Run,long,83m,9,,
8/18/2025,Walking On Incline,cross,50m,2.5,,
8/19/2025,Easy Run,easy,40m,4,,
8/20/2025,Easy Run,easy,40m,4,,
8/21/2025,Tempo Run,tempo,45m,5,,
8/23/2025,Long Run,long,86m,9,,
8/25/2025,Tempo Run,tempo,35m,4,,
8/26/2025,Walking On Incline,cross,40m,2,,
8/27/2025,Tempo Run,tempo,43m,5,,
8/28/2025,Easy Run,easy,37m 20s,4,,
8/29/2025,Hill Workout,interval,50m,5,,
8/30/2025,Easy Run,easy,39m,4,,
9/1/2025,Easy Run,easy,52m 45s,5,,
9/2/2025,Walking On Incline,cross,40m,2,,
9/3/2025,Tempo Run,tempo,42m 30s,5,,
9/4/2025,Easy Run,easy,40m,4,,
9/5/2025,Practice 5k,tempo,60.5m,6,,
9/7/2025,Easy Run,easy,38m 40s,4,,
9/8/2025,Walking On Incline,cross,90m,4.5,,
9/9/2025,Hill Workout,interval,64m,6.5,,
9/10/2025,Easy Run,easy,40m,4,,
9/11/2025,Easy Run,easy,35m,3.5,,
9/12/2025,Easy Run,easy,38m 30s,4,,
9/14/2025,5k,race,22m,3.5,,
9/16/2025,Easy Run,easy,50m,5,,
9/17/2025,Easy Run,easy,40m,4,,
9/18/2025,Easy Run,easy,42m,4,,
9/19/2025,Medium-Long Run,run,74m,8,,
9/21/2025,Easy Run,easy,40m,4,,
9/22/2025,Walking On Incline,cross,30m,1.5,,
9/22/2025,Easy Run,easy,22m 30s,2,,
9/23/2025,Easy Run,easy,30m,3,,
9/24/2025,Tempo Run,tempo,51m 20s,6,,
9/25/2025,Easy Run,easy,40m,4,,
9/26/2025,Easy Run,easy,42m 30s,4.25,,
9/27/2025,Long Run,long,71m 15s,8,,
9/29/2025,Walking On Incline,cross,50m,2.5,,
9/30/2025,Easy Run,easy,40m 30s,5,,
10/1/2025,Easy Run,easy,40m,4,,
10/2/2025,Tempo Run,tempo,55m,6,,
10/3/2025,Easy Run,easy,52m,5,,
10/4/2025,Long Run,long,72m,8,,
10/7/2025,Easy Run,easy,48m 30s,5,,
10/8/2025,Tempo Run,tempo,49m,6,,
10/9/2025,Easy Run,easy,40m,4,,
10/10/2025,Easy Run,easy,50m,5,,
10/12/2025,Long Run,long,90m,10,,
10/13/2025,Hiking,cross,70m,2.5,,
10/14/2025,Easy Run,easy,40m,4,,
10/15/2025,Easy Run,easy,62m 30s,6,,
10/16/2025,Easy Run,easy,60m,6,,
10/17/2025,Easy Run,easy,40m,4,,
10/18/2025,Easy Run,easy,50m,5,,
10/20/2025,Walking On Incline,cross,40m,2,,
10/21/2025,Easy Run,easy,48m,5,,
10/22/2025,Tempo Run,tempo,52m,6,,
10/23/2025,Easy Run,easy,45m,5,,
10/24/2025,Easy Run,easy,50m,5,,
10/25/2025,Long Run,long,90m,9,,
10/28/2025,Easy Run,easy,50m,5,,
10/29/2025,Easy Run,easy,50m,5,,
10/30/2025,Tempo Run,tempo,54m,6,,
10/31/2025,Easy Run,easy,45m,5,,
11/1/2025,Long Run,long,90m,9,,
11/4/2025,Walking On Incline,cross,40m,2,,
11/4/2025,Easy Run,easy,50m,5,,
11/5/2025,Tempo Run,tempo,50m,6,,
11/6/2025,Easy Run,easy,50m,5,,
11/8/2025,Long Run,long,90m,9,,
11/9/2025,Easy Run,easy,42m 40s,5,,
11/11/2025,Tempo Run,tempo,51m,6,,
11/12/2025,Easy Run,easy,30m,3,,
11/13/2025,Tempo Run,tempo,52m 40s,6,,
11/14/2025,Easy Run,easy,50m,5,,
11/15/2025,Long Run,long,87m,10,,
11/17/2025,Easy Run,easy,60m,6,,
11/18/2025,Easy Run,easy,56m 45s,6,,
11/23/2025,Tempo Run,tempo,53m 40s,6,,
11/24/2025,Hiking,cross,120m,4.3,,
11/28/2025,Easy Run,easy,50m,5,,
11/29/2025,Long Run,long,89m 20s,10,,
12/2/2025,Easy Run,easy,50m,5,,
12/4/2025,Easy Run,easy,60m,6,,
12/5/2025,Easy Run,easy,50m,5,,
12/6/2025,Long Run,long,82m,9.25,,
12/9/2025,Easy Run,easy,50m,5,,
12/10/2025,Tempo Run,tempo,50m,6,,
12/11/2025,Easy Run,easy,50m,5,,
12/12/2025,Easy Run,easy,50m,5,,
12/13/2025,Long Run,long,84m,9,,
12/16/2025,Easy Run,easy,50m,5,,
12/17/2025,Easy Run,easy,50m,5,,
12/18/2025,Tempo Run,tempo,51m,6,,
